Theta1,Theta2,Theta3,x0,y0,z0
-40,8,80,565.7183039,512.6524432,-595.1225243
-40,12,-40,135.7713046,-235.1627978,-658.6648606
-40,12,-36,148.1363607,-221.4942008,-666.3539989
-40,12,-32,160.8842417,-207.1243929,-673.894666
-40,12,-28,173.9991787,-192.0439524,-681.2397236
-40,12,-24,187.4656933,-176.2428634,-688.3418345
-40,12,-20,201.2682703,-159.7107932,-695.1531413
-40,12,-16,215.39106,-142.4373553,-701.6249909
-40,12,-12,229.8176041,-124.4123668,-707.7076978
-40,12,-8,244.5305781,-105.6261023,-713.3503442
-40,12,-4,259.5115493,-86.06955031,-718.5006118
-40,12,0,274.7407454,-65.73467351,-723.104645
-40,12,4,290.1968324,-44.61467566,-727.1069427
-40,12,8,305.8567008,-22.70427714,-730.4502792
-40,12,12,321.6952583,0,-733.0756538
-40,12,16,337.6852294,23.49953667,-734.9222681
-40,12,20,353.7969612,47.79331053,-735.927533
-40,12,24,369.9982358,72.87757917,-736.027104
-40,12,28,386.2540903,98.74555295,-735.1549476
-40,12,32,402.5266445,125.3870585,-733.2434367
-40,12,36,418.7749373,152.7881939,-730.2234776
-40,12,40,434.9547732,180.9309774,-726.0246669
-40,12,44,451.0185802,209.7929912,-720.5754785
-40,12,48,466.9152781,239.3470233,-713.80348
-40,12,52,482.5901615,269.5607096,-705.6355749
-40,12,56,497.9847939,300.3961787,-695.99827
-40,12,60,513.0369164,331.8097037,-684.8179606
-40,12,64,527.6803669,363.7513628,-672.0212299
-40,12,68,541.8450108,396.1647116,-657.5351523
-40,12,72,555.4566759,428.9864708,-641.2875905
-40,12,76,568.4370897,462.1462279,-623.2074714
-40,12,80,580.7038062,495.5661555,-603.2250219
-40,16,-40,148.8571903,-257.8282166,-657.1226113
-40,16,-36,161.5426335,-244.2266474,-665.0716199
-40,16,-32,174.5948569,-229.9296169,-672.8661299
-40,16,-28,187.9981185,-214.9261069,-680.4607977
-40,16,-24,201.736922,-199.204525,-687.8100382
-40,16,-20,215.7957058,-182.7529429,-694.867708
-40,16,-16,230.158557,-165.5593252,-701.5868299
-40,16,-12,244.8089463,-147.6117561,-707.9193513
-40,16,-8,259.7294775,-128.8986658,-713.815934
-40,16,-4,274.9016483,-109.4090621,-719.225773
-40,16,0,290.3056197,-89.13276893,-724.0964415
-40,16,4,305.9199921,-68.06067508,-728.3737604
-40,16,8,321.7215866,-46.18499391,-732.0016937
-40,16,12,337.6852294,-23.49953667,-734.9222681
-40,16,16,353.7835409,0,-737.0755169
-40,16,20,369.9867266,24.31573149,-738.3994503
-40,16,24,386.2623719,49.44726706,-738.8300514
-40,16,28,402.5752409,75.3913759,-738.3012993
-40,16,32,418.8870783,102.1416379,-736.7452207
-40,16,36,435.1564175,129.6880797,-734.0919693
-40,16,40,451.3383937,158.0167965,-730.2699358
-40,16,44,467.3845645,187.1095625,-725.2058859
-40,16,48,483.2427381,216.94343,-718.8251281
-40,16,52,498.8568096,247.4903208,-711.0517083
-40,16,56,514.1666073,278.7166121,-701.8086294
-40,16,60,529.1077462,310.5827186,-691.0180918
-40,16,64,543.6114899,343.042676,-678.6017488
-40,16,68,557.6046169,376.043726,-664.4809674
-40,16,72,571.0092877,409.5259066,-648.5770852
-40,16,76,583.742905,443.4216493,-630.8116446
-40,16,80,595.7179566,477.6553808,-611.1065863
